Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Amazon.com inc.,AMZN,"",586.0,1909000.0,0.3197,0.3641,38,34.0,6.15942,addition,0.0001168,Q2 2017,CONSUMER DISCRETIONARY,13F,12/31/2020,1379.7061,3159.53
Procter & gamble co. (oh) (1905),PG,"",13365.0,1860000.0,0.3115,0.3549,39,1179.0,9.675037,addition,0.0005390,Q4 2011,CONSUMER STAPLES,13F,12/31/2020,85.0074,127.66
Jpmorgan chase & co. (chemical bank),JPM,"",14249.0,1811000.0,0.3033,0.2836,40,188.0,1.337032,addition,0.0004675,Q3 2012,FINANCE,13F,12/31/2020,77.4337,153.26
Vanguard ftse all-world ex-us index fund-etf shares,VEU,"",28977.0,1691000.0,0.2832,0.3088,41,-239.0,-0.818045,reduction,No Data,Q2 2020,FINANCE,13F,12/31/2020,47.61,61.81
Ishares esg msci eafe etf,ESGD,"",22909.0,1673000.0,0.2802,0.2547,42,3749.0,19.566806,addition,No Data,Q3 2018,FINANCE,13F,12/31/2020,63.907,76.24
Abbott laboratories,ABT,"",14198.0,1555000.0,0.2604,0.3042,43,857.0,6.423806,addition,0.0008011,Q2 2016,HEALTH CARE,13F,12/31/2020,68.3244,122.38
Ishares core msci emerging markets etf,IEMG,"",25030.0,1553000.0,0.2601,0.2807,44,-353.0,-1.390695,reduction,No Data,Q1 2017,FINANCE,13F,12/31/2020,49.53,67.01
Walt disney co. (the),DIS,"",8394.0,1521000.0,0.2547,0.212,45,241.0,2.955967,addition,0.0004636,Q1 2013,COMMUNICATIONS,13F,12/31/2020,92.8413,197.51
Pepsico inc. (loft  inc.),PEP,"",10006.0,1484000.0,0.2485,0.2424,46,1658.0,19.861045,addition,0.0007240,Q4 2011,CONSUMER STAPLES,13F,12/31/2020,106.0344,132.09
Tennant co.,TNC,"",20968.0,1471000.0,0.2463,0.275,47,-784.0,-3.604266,reduction,0.1135050,Q1 2012,INDUSTRIALS,13F,12/31/2020,43.49,79.11
Graco inc.,GGG,"",19392.0,1403000.0,0.235,0.2493,48,0.0,0.0,,0.0115745,Q1 2014,INDUSTRIALS,13F,12/31/2020,10.46,69.84
Ishares trust s&p 1500 index fund (etf),ITOT,"",16199.0,1397000.0,0.2339,0.2801,49,-1506.0,-8.506072,reduction,No Data,Q2 2015,FINANCE,13F,12/31/2020,44.87,91.45
Invesco qqq trust series 1,QQQ,"",4432.0,1390000.0,0.2328,0.2497,50,141.0,3.285947,addition,No Data,Q1 2018,FINANCE,13F,12/31/2020,174.7763,324.13
Ishares trust - core s&p mid-cap 400 exchange traded fund,IJH,"",6032.0,1386000.0,0.2321,0.239,51,-126.0,-2.046119,reduction,No Data,Q4 2016,FINANCE,13F,12/31/2020,168.81,257.23
Xcel energy inc. (northern states power co. (mn)),XEL,"",20775.0,1385000.0,0.2319,0.3092,52,-609.0,-2.847924,reduction,0.0038665,Q2 2016,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2020,57.83,60.21
Home depot  inc. (the),HD,"",4889.0,1299000.0,0.2175,0.2822,53,37.0,0.762572,addition,0.0004541,Q2 2014,CONSUMER DISCRETIONARY,13F,12/31/2020,120.7349,259.97
Intel corp.,INTC,"",24092.0,1200000.0,0.201,0.2072,54,4986.0,26.096514,addition,0.0005879,Q4 2011,INFORMATION TECHNOLOGY,13F,12/31/2020,40.0576,63.19
Medtronic plc,MDT,"",10128.0,1186000.0,0.1986,0.2212,55,-35.0,-0.344387,reduction,0.0007524,Q4 2011,HEALTH CARE,13F,12/31/2020,78.0,118.74
Target corp.,TGT,"",6228.0,1099000.0,0.184,0.221,56,-472.0,-7.044776,reduction,0.0012437,Q2 2018,CONSUMER DISCRETIONARY,13F,12/31/2020,103.59,187.08
Bristol-myers squibb co,BMY,"",17449.0,1082000.0,0.1812,0.22,57,40.0,0.229766,addition,0.0007722,Q3 2015,HEALTH CARE,13F,12/31/2020,62.5289,62.59
Ishares esg msci em etf,ESGE,"",25689.0,1078000.0,0.1805,0.1525,58,5234.0,25.587876,addition,No Data,Q3 2018,FINANCE,13F,12/31/2020,34.3121,45.21
Oracle corp,ORCL,"",16570.0,1072000.0,0.1795,0.203,59,333.0,2.050871,addition,0.0005628,Q1 2013,INFORMATION TECHNOLOGY,13F,12/31/2020,38.4482,64.7
Merck & co,MRK,"",12574.0,1029000.0,0.1723,0.2141,60,254.0,2.061688,addition,0.0004970,Q4 2011,HEALTH CARE,13F,12/31/2020,57.0601,74.57
Johnson & johnson co.,JNJ,"",6424.0,1011000.0,0.1693,0.1613,61,1249.0,24.135266,addition,0.0002440,Q1 2012,HEALTH CARE,13F,12/31/2020,117.6975,162.59
Fastenal co.,FAST,"",20653.0,1008000.0,0.1688,,62,20653.0,,new,0.0035977,Q4 2020,INDUSTRIALS,13F,12/31/2020,48.83,46.9
Facebook inc,FB,"",3559.0,972000.0,0.1628,0.195,63,5.0,0.140687,addition,0.0001480,Q1 2016,COMMUNICATIONS,13F,12/31/2020,159.9692,264.31
Ishares russell 2000 growth etf,IWO,"",3371.0,966000.0,0.1618,0.1766,64,-435.0,-11.429322,reduction,No Data,Q4 2011,FINANCE,13F,12/31/2020,191.49,321.88
Cdk global inc,CDK,"",18295.0,948000.0,0.1588,0.167,65,0.0,0.0,,0.0150339,Q3 2018,INFORMATION TECHNOLOGY,13F,12/31/2020,58.23,52.36
Cadence design systems  inc.,CDNS,"",6832.0,932000.0,0.1561,0.1525,66,0.0,0.0,,0.0024494,Q1 2013,INFORMATION TECHNOLOGY,13F,12/31/2020,13.93,139.42
Alphabet inc. class a,GOOGL,"",527.0,924000.0,0.1547,0.1655,67,-12.0,-2.226345,reduction,0.0001753,Q3 2012,COMMUNICATIONS,13F,12/31/2020,823.2,2083.81
Sps commerce inc,SPSC,"",7962.0,865000.0,0.1449,0.1299,68,0.0,0.0,,0.0225496,Q2 2018,INFORMATION TECHNOLOGY,13F,12/31/2020,19.12,106.45
Paypal holdings inc,PYPL,"",3690.0,864000.0,0.1447,0.1519,69,10.0,0.271739,addition,0.0003149,Q4 2018,COMMUNICATIONS,13F,12/31/2020,91.9166,266.07
General electric co,GE,"",79762.0,861000.0,0.1442,0.1026,70,1077.0,1.368749,addition,0.0009105,Q4 2011,INDUSTRIALS,13F,12/31/2020,14.4303,13.12
Mcdonalds corp.,MCD,"",3927.0,843000.0,0.1412,0.1795,71,21.0,0.537634,addition,0.0005270,Q3 2015,CONSUMER DISCRETIONARY,13F,12/31/2020,122.9427,213.27
Ishares s&p 500 growth etf,IVW,"",12812.0,818000.0,0.137,0.1703,72,-1256.0,-8.928064,reduction,No Data,Q4 2011,FINANCE,13F,12/31/2020,5.09,65.23
At&t inc. (southwestern bell - sbc corp.),T,"",27858.0,801000.0,0.1341,0.1341,73,5402.0,24.055932,addition,0.0003909,Q4 2015,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2020,35.1845,29.38
Wells fargo & co.  (northwest bancorporation),WFC,"",24422.0,737000.0,0.1234,0.1709,74,-10297.0,-29.658112,reduction,0.0005907,Q4 2011,FINANCE,13F,12/31/2020,38.15,38.29
Alphabet inc. class c,GOOG,"",414.0,725000.0,0.1214,0.1257,75,6.0,1.470588,addition,0.0001255,Q2 2014,COMMUNICATIONS,13F,12/31/2020,878.3067,2095.17
Bank of america corp. (north carolina national bank),BAC,"",22833.0,692000.0,0.1159,0.1104,76,965.0,4.412841,addition,0.0002639,Q3 2015,FINANCE,13F,12/31/2020,22.9259,36.38
Pfizer  inc.,PFE,"",18771.0,691000.0,0.1157,0.1456,77,-1189.65,-5.959976,reduction,0.0003377,Q4 2011,HEALTH CARE,13F,12/31/2020,30.67,33.75
Verizon communications (bell atlantic corp.),VZ,"",11641.0,684000.0,0.1145,0.1427,78,194.0,1.694767,addition,0.0002813,Q1 2016,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2020,54.0497,57.12
Ishares esg advanced msci usa etf,USXF,"",21234.0,665000.0,0.1114,0.1184,79,1058.0,5.243854,addition,No Data,Q3 2020,FINANCE,13F,12/31/2020,28.1649,33.05
Broadridge financial solutions inc,BR,"",4295.0,658000.0,0.1102,0.1188,80,0.0,0.0,,0.0037148,Q3 2018,INFORMATION TECHNOLOGY,13F,12/31/2020,131.78,145.08
Abbvie inc,ABBV,"",6026.0,646000.0,0.1082,0.11,81,37.0,0.617799,addition,0.0003413,Q1 2014,HEALTH CARE,13F,12/31/2020,90.2345,108.69
Hormel foods corp.,HRL,"",13142.0,613000.0,0.1027,0.1334,82,118.0,0.90602,addition,0.0024341,Q1 2013,CONSUMER STAPLES,13F,12/31/2020,13.2919,46.88
Coca cola co.,KO,"",10918.0,599000.0,0.1003,0.1043,83,835.0,8.281265,addition,0.0002541,Q4 2018,CONSUMER STAPLES,13F,12/31/2020,47.5904,50.71
International business machines corp,IBM,"",4752.0,598000.0,0.1001,0.1261,84,-195.0,-3.941783,reduction,0.0005333,Q4 2011,INFORMATION TECHNOLOGY,13F,12/31/2020,140.66,123.21
Cisco systems  inc.,CSCO,"",13157.0,589000.0,0.0986,0.0966,85,1458.0,12.462604,addition,0.0003114,Q3 2017,INFORMATION TECHNOLOGY,13F,12/31/2020,38.4012,45.74
Dexcom inc,DXCM,"",1585.0,586000.0,0.0981,0.1368,86,0.0,0.0,,0.0016506,Q2 2018,HEALTH CARE,13F,12/31/2020,97.0,405.64
Revance therapeutics inc,RVNC,"",20491.0,581000.0,0.0973,,87,20491.0,,new,0.0307908,Q4 2020,HEALTH CARE,13F,12/31/2020,28.34,26.17
Lilly (eli) & co.,LLY,"",3180.0,537000.0,0.0899,0.0941,88,146.0,4.812129,addition,0.0003324,Q2 2014,HEALTH CARE,13F,12/31/2020,74.5093,204.52
Ishares msci eafe index fund,EFA,"",7316.0,534000.0,0.0894,0.0943,89,251.0,3.552725,addition,No Data,Q4 2011,FINANCE,13F,12/31/2020,62.3374,76.37
Chevron corp. (standard oil of california),CVX,"",6233.0,526000.0,0.0881,0.0737,90,1341.0,27.412101,addition,0.0003238,Q3 2015,ENERGY,13F,12/31/2020,89.8498,103.31
Zoetis  inc.,ZTS,"",2992.0,495000.0,0.0829,0.1052,91,-45.0,-1.481725,reduction,0.0006295,Q1 2019,HEALTH CARE,13F,12/31/2020,101.0,159.05
Costco co.,COST,"",1277.0,481000.0,0.0806,0.0974,92,-32.0,-2.444614,reduction,0.0002883,Q2 2014,CONSUMER STAPLES,13F,12/31/2020,133.53,340.7
Philip morris international inc,PM,"",5701.0,472000.0,0.079,0.0901,93,-27.0,-0.471369,reduction,0.0003661,Q4 2011,CONSUMER STAPLES,13F,12/31/2020,81.69,87.56
American express co,AXP,"",3888.0,470000.0,0.0787,0.0792,94,115.0,3.047972,addition,0.0004829,Q3 2016,FINANCE,13F,12/31/2020,78.9781,139.89
Honeywell international inc. (allied chemical and dye - allied signal),HON,"",2066.0,440000.0,0.0737,0.1093,95,-1103.0,-34.805932,reduction,0.0002944,Q2 2019,INDUSTRIALS,13F,12/31/2020,158.99,211.03
Boeing company,BA,"",1974.0,423000.0,0.0708,0.0614,96,202.0,11.399549,addition,0.0003497,Q3 2015,INDUSTRIALS,13F,12/31/2020,210.209,229.34
Ishares russell mid-cap value etf,IWS,"",4311.0,418000.0,0.07,0.0974,97,-1443.0,-25.078206,reduction,No Data,Q4 2017,FINANCE,13F,12/31/2020,76.99,107.42
Anthem inc,ANTM,"",1300.0,417000.0,0.0698,0.0731,98,0.0,0.0,,0.0005227,Q4 2018,HEALTH CARE,13F,12/31/2020,259.9,305.79
Becton  dickinson and co.,BDX,"",1660.0,415000.0,0.0695,0.0809,99,0.0,0.0,,0.0005707,Q1 2018,HEALTH CARE,13F,12/31/2020,221.16,246.71
Nvidia corp.,NVDA,"",792.0,414000.0,0.0693,0.054,100,315.0,66.037736,addition,0.0001279,Q3 2020,INFORMATION TECHNOLOGY,13F,12/31/2020,533.6552,579.96
Bank of new york mellon corp,BK,"",9249.0,393000.0,0.0658,0.0666,101,-20.0,-0.215773,reduction,0.0010437,Q1 2020,FINANCE,13F,12/31/2020,33.68,44.26
Maxim integrated products inc,MXIM,"",4400.0,390000.0,0.0653,0.0622,102,0.0,0.0,,0.0016461,Q4 2018,INFORMATION TECHNOLOGY,13F,12/31/2020,60.61,96.75
Invesco s&p 500 pure growth etf,RPG,"",2365.0,385000.0,0.0645,0.0702,103,0.0,0.0,,No Data,Q1 2020,FINANCE,13F,12/31/2020,100.14,169.0
Applied materials inc.,AMAT,"",4461.0,385000.0,0.0645,0.0555,104,6.0,0.13468,addition,0.0004879,Q2 2019,INFORMATION TECHNOLOGY,13F,12/31/2020,44.9956,122.81
Altria group  inc. (philip morris),MO,"",9354.0,383000.0,0.0641,0.0752,105,54.0,0.580645,addition,0.0005033,Q1 2013,CONSUMER STAPLES,13F,12/31/2020,44.5792,45.0
Tactile systems technology inc,TCMD,"",8400.0,377000.0,0.0631,0.0643,106,0.0,0.0,,0.0432440,Q4 2019,HEALTH CARE,13F,12/31/2020,67.51,53.57
Sysco corp.,SYY,"",4856.0,361000.0,0.0605,,107,4856.0,,new,0.0009534,Q4 2020,CONSUMER STAPLES,13F,12/31/2020,74.26,80.98
Schwab u.s. large-cap growth etf,SCHG,"",2790.0,358000.0,0.06,0.0672,108,0.0,0.0,,No Data,Q1 2020,FINANCE,13F,12/31/2020,79.65,131.74
Ishares phlx semiconductor index fund,SOXX,"",942.0,357000.0,0.0598,0.0572,109,46.0,5.133929,addition,No Data,Q2 2020,FINANCE,13F,12/31/2020,276.1971,432.24
Caterpillar inc.,CAT,"",1911.0,348000.0,0.0583,,110,1911.0,,new,0.0003518,Q4 2020,INDUSTRIALS,13F,12/31/2020,182.02,222.47
Accenture plc,ACN,"",1330.0,347000.0,0.0581,0.0631,111,0.0,0.0,,0.0002012,Q1 2019,INFORMATION TECHNOLOGY,13F,12/31/2020,176.02,259.27
Walmart inc,WMT,"",2403.0,346000.0,0.0579,0.0587,112,401.0,20.02997,addition,0.0000849,Q4 2018,CONSUMER STAPLES,13F,12/31/2020,106.8343,133.21
Exxonmobil corp. (standard oil of new jersey),XOM,"",8177.0,337000.0,0.0564,0.0756,113,-2330.0,-22.175692,reduction,0.0001934,Q4 2011,ENERGY,13F,12/31/2020,73.23,56.7
Visa inc,V,"",1537.0,336000.0,0.0563,0.0685,114,-96.0,-5.878751,reduction,0.0000906,Q4 2019,FINANCE,13F,12/31/2020,189.02,219.43
Netflix inc,NFLX,"",616.0,333000.0,0.0558,0.0683,115,-36.0,-5.521472,reduction,0.0001394,Q1 2019,COMMUNICATIONS,13F,12/31/2020,330.76,553.41
Vanguard mid-cap etf,VO,"",1606.0,332000.0,0.0556,0.0593,116,0.0,0.0,,No Data,Q3 2020,FINANCE,13F,12/31/2020,176.26,223.09
Ecolab inc.,ECL,"",1507.0,326000.0,0.0546,0.0675,117,-103.0,-6.397516,reduction,0.0005279,Q3 2018,MATERIALS,13F,12/31/2020,158.16,216.19
Netease inc adr,NTES,"",3393.0,325000.0,0.0544,0.0857,118,-1107.0,-24.6,reduction,0.0004950,Q2 2020,COMMUNICATIONS,13F,12/31/2020,17.18,117.5
Ishares esg advanced msci eafe etf,DMXF,"",4985.0,315000.0,0.0528,,119,4985.0,,new,No Data,Q4 2020,FINANCE,13F,12/31/2020,63.21,65.732
Lockheed martin corp.,LMT,"",848.0,301000.0,0.0504,0.0681,120,0.0,0.0,,0.0003031,Q3 2018,INDUSTRIALS,13F,12/31/2020,314.86,346.53
Amgen  inc.,AMGN,"",1308.0,301000.0,0.0504,0.0563,121,249.0,23.512748,addition,0.0002247,Q4 2015,HEALTH CARE,13F,12/31/2020,185.3416,229.99
Nextera energy inc.,NEE,"",3892.0,300000.0,0.0502,,122,3892.0,,new,0.0001987,Q4 2020,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2020,77.15,73.76
Norfolk southern corp.,NSC,"",1212.0,288000.0,0.0482,0.0543,123,1.0,0.082576,addition,0.0004418,Q2 2017,TRANSPORTS,13F,12/31/2020,176.3806,261.78
Ishares russell mid-cap etf,IWR,"",3941.0,270000.0,0.0452,0.0473,124,0.0,0.0,,No Data,Q3 2018,FINANCE,13F,12/31/2020,53.6,74.33
Celcuity inc,CELC,"",29115.0,267000.0,0.0447,0.0354,125,0.0,0.0,,0.2827523,Q2 2018,HEALTH CARE,13F,12/31/2020,23.71,14.37
Otter tail corp,OTTR,"",6239.0,266000.0,0.0445,0.0645,126,-2277.0,-26.737905,reduction,0.0151933,Q3 2013,UTILITIES AND TELECOMMUNICATIONS,13F,12/31/2020,30.71,41.9
Waters corporation,WAT,"",1063.0,263000.0,0.044,0.0436,127,0.0,0.0,,0.0017132,Q3 2020,HEALTH CARE,13F,12/31/2020,195.68,279.9
Amphenol corp. (1987),APH,"",2000.0,262000.0,0.0439,0.0455,128,0.0,0.0,,0.0006686,Q3 2020,INFORMATION TECHNOLOGY,13F,12/31/2020,108.27,129.55
Intuitive surgical inc,ISRG,"",310.0,254000.0,0.0425,,129,310.0,,new,0.0002637,Q4 2020,HEALTH CARE,13F,12/31/2020,818.1,758.71
Spdr s&p financial etf,XLF,"",8512.0,251000.0,0.042,0.0429,130,0.0,0.0,,No Data,Q4 2018,FINANCE,13F,12/31/2020,24.3,33.55
Comcast corp.  class a,CMCSA,"",4732.0,248000.0,0.0415,0.0438,131,215.0,4.759796,addition,0.0001036,Q3 2020,COMMUNICATIONS,13F,12/31/2020,46.539,53.4
Raytheon technologies corp. (united technologies),RTX,"",3427.0,245000.0,0.041,,132,3427.0,,new,0.0002257,Q1 2019,INDUSTRIALS,13F,12/31/2020,71.51,77.67
Ball corp.,BLL,"",2534.0,236000.0,0.0395,0.0442,133,0.0,0.0,,0.0007747,Q3 2020,MATERIALS,13F,12/31/2020,83.12,86.26
Realty income corp.,O,"",3762.0,234000.0,0.0392,0.0476,134,25.0,0.668986,addition,0.0010718,Q2 2018,REAL ESTATE,13F,12/31/2020,59.5277,62.37
Stryker corp.,SYK,"",936.0,229000.0,0.0383,,135,936.0,,new,0.0002491,Q4 2020,HEALTH CARE,13F,12/31/2020,245.04,248.82
Fedex corporation,FDX,"",866.0,225000.0,0.0377,0.048,136,-43.0,-4.730473,reduction,0.0003267,Q3 2020,TRANSPORTS,13F,12/31/2020,251.52,260.06
Gilead sciences inc.,GILD,"",3858.0,225000.0,0.0377,0.0515,137,-41.0,-1.051552,reduction,0.0003078,Q2 2020,HEALTH CARE,13F,12/31/2020,76.94,63.71
Ishares msci emerging index fund,EEM,"",4340.0,224000.0,0.0375,,138,4340.0,,new,No Data,Q4 2020,FINANCE,13F,12/31/2020,51.67,55.73
Donaldson company  inc.,DCI,"",3936.0,220000.0,0.0368,,139,3936.0,,new,0.0031179,Q4 2020,INDUSTRIALS,13F,12/31/2020,55.88,61.97
Baxter international inc.,BAX,"",2746.0,220000.0,0.0368,,140,2746.0,,new,0.0005376,Q4 2020,HEALTH CARE,13F,12/31/2020,80.24,78.51
Ishares u.s. technology etf,IYW,"",2545.0,217000.0,0.0363,,141,2545.0,,new,No Data,Q4 2020,INFORMATION TECHNOLOGY,13F,12/31/2020,85.08,89.61
Spdr gold trust,GLD,"",1210.0,216000.0,0.0362,,142,1210.0,,new,No Data,Q4 2020,MATERIALS,13F,12/31/2020,178.36,169.0
Qualcomm inc.,QCOM,"",1381.0,210000.0,0.0352,,143,1381.0,,new,0.0001221,Q4 2020,INFORMATION TECHNOLOGY,13F,12/31/2020,152.34,141.1
Ishares emerging markets dividend index fund etf,DVYE,"",5615.0,209000.0,0.035,,144,5615.0,,new,No Data,Q4 2020,FINANCE,13F,12/31/2020,37.23,39.18
Nike inc.,NKE,"",1439.0,204000.0,0.0342,,145,1439.0,,new,0.0001132,Q4 2020,CONSUMER DISCRETIONARY,13F,12/31/2020,141.47,135.65
Edap tms s.a. adr,EDAP,"",39261.0,203000.0,0.034,0.0551,146,-17833.0,-31.234455,reduction,0.1347251,Q3 2019,HEALTH CARE,13F,12/31/2020,4.47,9.95
Energy transfer equity lp,ET,"",20237.0,125000.0,0.0209,0.0186,147,3840.0,23.418918,addition,0.0007502,Q4 2018,ENERGY,13F,12/31/2020,11.7059,8.12
Fortuna silver mines inc,FSM,"",14500.0,119000.0,0.0199,,148,14500.0,,new,0.0078721,Q4 2020,MATERIALS,13F,12/31/2020,8.24,8.39
